,hh_HFIA_cat,hh_HFIA_cat_full,region
423,1,Food.secure,SNNPR
424,1,Food.secure,SNNPR
425,1,Food.secure,SNNPR
426,3,Moderately.food.insecure.access,SNNPR
427,2,Mildly.food.insecure.access,SNNPR
428,2,Mildly.food.insecure.access,SNNPR
429,2,Mildly.food.insecure.access,SNNPR
430,1,Food.secure,SNNPR
431,1,Food.secure,SNNPR
432,2,Mildly.food.insecure.access,SNNPR
433,2,Mildly.food.insecure.access,SNNPR
434,1,Food.secure,SNNPR
435,1,Food.secure,SNNPR
436,2,Mildly.food.insecure.access,SNNPR
437,1,Food.secure,SNNPR
438,1,Food.secure,SNNPR
439,1,Food.secure,SNNPR
440,2,Mildly.food.insecure.access,SNNPR
441,3,Moderately.food.insecure.access,SNNPR
442,3,Moderately.food.insecure.access,SNNPR
443,1,Food.secure,SNNPR
444,1,Food.secure,SNNPR
445,1,Food.secure,SNNPR
446,1,Food.secure,SNNPR
447,1,Food.secure,SNNPR
448,1,Food.secure,SNNPR
449,3,Moderately.food.insecure.access,SNNPR
450,2,Mildly.food.insecure.access,SNNPR
451,1,Food.secure,SNNPR
452,2,Mildly.food.insecure.access,SNNPR
453,1,Food.secure,SNNPR
454,1,Food.secure,SNNPR
455,1,Food.secure,SNNPR
456,1,Food.secure,SNNPR
457,1,Food.secure,SNNPR
458,2,Mildly.food.insecure.access,SNNPR
459,1,Food.secure,SNNPR
460,2,Mildly.food.insecure.access,SNNPR
461,2,Mildly.food.insecure.access,SNNPR
462,2,Mildly.food.insecure.access,SNNPR
463,1,Food.secure,SNNPR
464,4,Severely.food.insecure.access,SNNPR
465,1,Food.secure,SNNPR
466,2,Mildly.food.insecure.access,SNNPR
467,1,Food.secure,SNNPR
468,2,Mildly.food.insecure.access,SNNPR
469,2,Mildly.food.insecure.access,SNNPR
470,2,Mildly.food.insecure.access,SNNPR
471,1,Food.secure,SNNPR
472,1,Food.secure,SNNPR
473,1,Food.secure,SNNPR
474,1,Food.secure,SNNPR
475,1,Food.secure,SNNPR
476,1,Food.secure,SNNPR
477,1,Food.secure,SNNPR
478,2,Mildly.food.insecure.access,SNNPR
479,4,Severely.food.insecure.access,SNNPR
480,2,Mildly.food.insecure.access,SNNPR
481,1,Food.secure,SNNPR
482,1,Food.secure,SNNPR
483,1,Food.secure,SNNPR
484,1,Food.secure,SNNPR
485,1,Food.secure,SNNPR
486,1,Food.secure,SNNPR
487,1,Food.secure,SNNPR
488,4,Severely.food.insecure.access,SNNPR
489,1,Food.secure,SNNPR
490,1,Food.secure,SNNPR
491,1,Food.secure,SNNPR
492,1,Food.secure,SNNPR
493,1,Food.secure,SNNPR
494,1,Food.secure,SNNPR
495,1,Food.secure,SNNPR
496,1,Food.secure,SNNPR
497,1,Food.secure,SNNPR
498,1,Food.secure,SNNPR
499,1,Food.secure,SNNPR
500,1,Food.secure,SNNPR
501,1,Food.secure,SNNPR
502,1,Food.secure,SNNPR
503,1,Food.secure,SNNPR
504,1,Food.secure,SNNPR
505,1,Food.secure,SNNPR
506,1,Food.secure,SNNPR
507,1,Food.secure,SNNPR
508,1,Food.secure,SNNPR
509,1,Food.secure,SNNPR
510,1,Food.secure,SNNPR
511,1,Food.secure,SNNPR
512,1,Food.secure,SNNPR
513,2,Mildly.food.insecure.access,SNNPR
514,1,Food.secure,SNNPR
515,1,Food.secure,SNNPR
516,2,Mildly.food.insecure.access,SNNPR
517,4,Severely.food.insecure.access,SNNPR
518,3,Moderately.food.insecure.access,SNNPR
519,1,Food.secure,SNNPR
520,3,Moderately.food.insecure.access,SNNPR
521,2,Mildly.food.insecure.access,SNNPR
522,2,Mildly.food.insecure.access,SNNPR
523,2,Mildly.food.insecure.access,SNNPR
524,1,Food.secure,SNNPR
525,1,Food.secure,SNNPR
526,1,Food.secure,SNNPR
527,1,Food.secure,SNNPR
528,1,Food.secure,SNNPR
529,1,Food.secure,SNNPR
530,1,Food.secure,SNNPR
531,1,Food.secure,SNNPR
532,2,Mildly.food.insecure.access,SNNPR
533,3,Moderately.food.insecure.access,SNNPR
534,1,Food.secure,SNNPR
535,1,Food.secure,SNNPR
536,1,Food.secure,SNNPR
537,1,Food.secure,SNNPR
538,2,Mildly.food.insecure.access,SNNPR
539,3,Moderately.food.insecure.access,SNNPR
540,1,Food.secure,SNNPR
541,2,Mildly.food.insecure.access,SNNPR
542,3,Moderately.food.insecure.access,SNNPR
543,1,Food.secure,SNNPR
544,3,Moderately.food.insecure.access,SNNPR
545,2,Mildly.food.insecure.access,SNNPR
546,1,Food.secure,SNNPR
547,2,Mildly.food.insecure.access,SNNPR
548,2,Mildly.food.insecure.access,SNNPR
549,1,Food.secure,SNNPR
550,2,Mildly.food.insecure.access,SNNPR
551,3,Moderately.food.insecure.access,SNNPR
552,2,Mildly.food.insecure.access,SNNPR
553,4,Severely.food.insecure.access,SNNPR
554,1,Food.secure,SNNPR
555,1,Food.secure,SNNPR
556,1,Food.secure,SNNPR
557,3,Moderately.food.insecure.access,SNNPR
558,3,Moderately.food.insecure.access,SNNPR
559,3,Moderately.food.insecure.access,SNNPR
560,1,Food.secure,SNNPR
561,2,Mildly.food.insecure.access,SNNPR
562,1,Food.secure,SNNPR
563,1,Food.secure,SNNPR
564,1,Food.secure,SNNPR
565,1,Food.secure,SNNPR
566,1,Food.secure,SNNPR
567,1,Food.secure,SNNPR
568,4,Severely.food.insecure.access,SNNPR
569,1,Food.secure,SNNPR
570,1,Food.secure,SNNPR
571,1,Food.secure,SNNPR
572,1,Food.secure,SNNPR
573,1,Food.secure,SNNPR
574,3,Moderately.food.insecure.access,SNNPR
575,4,Severely.food.insecure.access,SNNPR
576,3,Moderately.food.insecure.access,SNNPR
577,3,Moderately.food.insecure.access,SNNPR
578,3,Moderately.food.insecure.access,SNNPR
579,1,Food.secure,SNNPR
580,3,Moderately.food.insecure.access,SNNPR
581,1,Food.secure,SNNPR
582,2,Mildly.food.insecure.access,SNNPR
583,2,Mildly.food.insecure.access,SNNPR
584,1,Food.secure,SNNPR
585,3,Moderately.food.insecure.access,SNNPR
586,2,Mildly.food.insecure.access,SNNPR
587,1,Food.secure,SNNPR
588,2,Mildly.food.insecure.access,SNNPR
589,2,Mildly.food.insecure.access,SNNPR
590,1,Food.secure,SNNPR
591,1,Food.secure,SNNPR
592,1,Food.secure,SNNPR
593,1,Food.secure,SNNPR
594,1,Food.secure,SNNPR
595,1,Food.secure,SNNPR
596,1,Food.secure,SNNPR
597,3,Moderately.food.insecure.access,SNNPR
598,1,Food.secure,SNNPR
599,1,Food.secure,SNNPR
600,1,Food.secure,SNNPR
601,4,Severely.food.insecure.access,SNNPR
602,1,Food.secure,SNNPR
603,1,Food.secure,SNNPR
604,3,Moderately.food.insecure.access,SNNPR
605,1,Food.secure,SNNPR
606,1,Food.secure,SNNPR
607,3,Moderately.food.insecure.access,SNNPR
608,4,Severely.food.insecure.access,SNNPR
609,1,Food.secure,SNNPR
610,1,Food.secure,SNNPR
611,1,Food.secure,SNNPR
612,1,Food.secure,SNNPR
613,2,Mildly.food.insecure.access,SNNPR
614,1,Food.secure,SNNPR
615,2,Mildly.food.insecure.access,SNNPR
616,2,Mildly.food.insecure.access,Tigray
617,1,Food.secure,Tigray
618,2,Mildly.food.insecure.access,Tigray
619,3,Moderately.food.insecure.access,Tigray
620,2,Mildly.food.insecure.access,Tigray
621,2,Mildly.food.insecure.access,Tigray
622,1,Food.secure,Tigray
623,3,Moderately.food.insecure.access,Tigray
624,1,Food.secure,Tigray
625,3,Moderately.food.insecure.access,Tigray
626,3,Moderately.food.insecure.access,Tigray
627,1,Food.secure,Tigray
628,1,Food.secure,Tigray
629,1,Food.secure,Tigray
630,3,Moderately.food.insecure.access,Tigray
631,1,Food.secure,Tigray
632,1,Food.secure,Tigray
633,1,Food.secure,Tigray
634,1,Food.secure,Tigray
635,1,Food.secure,Tigray
636,1,Food.secure,Tigray
637,1,Food.secure,Tigray
638,1,Food.secure,Tigray
639,1,Food.secure,Tigray
640,1,Food.secure,Tigray
641,1,Food.secure,Tigray
642,3,Moderately.food.insecure.access,Tigray
643,1,Food.secure,Tigray
644,3,Moderately.food.insecure.access,Tigray
645,2,Mildly.food.insecure.access,Tigray
646,3,Moderately.food.insecure.access,Tigray
647,3,Moderately.food.insecure.access,Tigray
648,1,Food.secure,Tigray
649,1,Food.secure,Tigray
650,3,Moderately.food.insecure.access,Tigray
651,4,Severely.food.insecure.access,Tigray
652,2,Mildly.food.insecure.access,Tigray
653,3,Moderately.food.insecure.access,Tigray
654,1,Food.secure,Tigray
655,4,Severely.food.insecure.access,Tigray
656,3,Moderately.food.insecure.access,Tigray
657,4,Severely.food.insecure.access,Tigray
658,4,Severely.food.insecure.access,Tigray
659,3,Moderately.food.insecure.access,Tigray
660,3,Moderately.food.insecure.access,Tigray
661,4,Severely.food.insecure.access,Tigray
662,1,Food.secure,Tigray
663,1,Food.secure,Tigray
664,1,Food.secure,Tigray
665,1,Food.secure,Tigray
666,1,Food.secure,Tigray
667,1,Food.secure,Tigray
668,1,Food.secure,Tigray
669,1,Food.secure,Tigray
670,1,Food.secure,Tigray
671,2,Mildly.food.insecure.access,Tigray
672,3,Moderately.food.insecure.access,Tigray
673,1,Food.secure,Tigray
674,3,Moderately.food.insecure.access,Tigray
675,1,Food.secure,Tigray
676,4,Severely.food.insecure.access,Tigray
677,4,Severely.food.insecure.access,Tigray
678,1,Food.secure,Tigray
679,1,Food.secure,Tigray
680,1,Food.secure,Tigray
681,1,Food.secure,Tigray
682,1,Food.secure,Tigray
683,3,Moderately.food.insecure.access,Tigray
684,4,Severely.food.insecure.access,Tigray
685,1,Food.secure,Tigray
686,4,Severely.food.insecure.access,Tigray
687,1,Food.secure,Tigray
688,1,Food.secure,Tigray
689,1,Food.secure,Tigray
690,1,Food.secure,Tigray
691,1,Food.secure,Tigray
692,1,Food.secure,Tigray
693,1,Food.secure,Tigray
694,1,Food.secure,Tigray
695,1,Food.secure,Tigray
696,3,Moderately.food.insecure.access,Tigray
697,1,Food.secure,Tigray
698,1,Food.secure,Tigray
699,1,Food.secure,Tigray
700,1,Food.secure,Tigray
701,1,Food.secure,Tigray
702,1,Food.secure,Tigray
